Timestamp,Source IP,Source Port,Dest IP,Dest Port,Protocol,Flags,Size,Event,Severity
2025-12-11 10:38:43,192.200.0.102,443,192.168.18.111,42694,TCP,A,52,TCP connection from 192.200.0.102:443 to 192.168.18.111:42694 [A],INFO
2025-12-11 10:38:45,192.168.0.1,45633,239.255.255.250,1900,UDP,NONE,414,UDP packet from 192.168.0.1:45633 to 239.255.255.250:1900,INFO
2025-12-11 10:38:45,192.168.0.1,45633,239.255.255.250,1900,UDP,NONE,423,UDP packet from 192.168.0.1:45633 to 239.255.255.250:1900,INFO
2025-12-11 10:38:45,192.168.0.1,45633,239.255.255.250,1900,UDP,NONE,486,UDP packet from 192.168.0.1:45633 to 239.255.255.250:1900,INFO
2025-12-11 10:38:45,192.168.0.1,45633,239.255.255.250,1900,UDP,NONE,482,UDP packet from 192.168.0.1:45633 to 239.255.255.250:1900,INFO
2025-12-11 10:38:45,192.168.0.1,45633,239.255.255.250,1900,UDP,NONE,462,UDP packet from 192.168.0.1:45633 to 239.255.255.250:1900,INFO
2025-12-11 10:38:45,192.168.0.1,45633,239.255.255.250,1900,UDP,NONE,494,UDP packet from 192.168.0.1:45633 to 239.255.255.250:1900,INFO
2025-12-11 10:38:45,192.168.0.1,45633,239.255.255.250,1900,UDP,NONE,476,UDP packet from 192.168.0.1:45633 to 239.255.255.250:1900,INFO
2025-12-11 10:38:45,192.168.0.1,45633,239.255.255.250,1900,UDP,NONE,478,UDP packet from 192.168.0.1:45633 to 239.255.255.250:1900,INFO
2025-12-11 10:38:45,192.168.0.1,45633,239.255.255.250,1900,UDP,NONE,478,UDP packet from 192.168.0.1:45633 to 239.255.255.250:1900,INFO
2025-12-11 10:38:50,172.237.72.79,443,192.168.18.111,42420,TCP,PA,79,TCP connection from 172.237.72.79:443 to 192.168.18.111:42420 [PA],INFO
2025-12-11 10:38:50,192.168.18.111,42420,172.237.72.79,443,TCP,A,52,TCP connection from 192.168.18.111:42420 to 172.237.72.79:443 [A] HTTPS,INFO
2025-12-11 10:38:51,192.168.18.111,47492,199.165.136.100,443,TCP,A,52,TCP connection from 192.168.18.111:47492 to 199.165.136.100:443 [A] HTTPS,INFO
2025-12-11 10:38:51,199.165.136.100,443,192.168.18.111,47492,TCP,A,52,TCP connection from 199.165.136.100:443 to 192.168.18.111:47492 [A],INFO
2025-12-11 10:38:53,192.168.18.187,57621,192.168.18.255,57621,UDP,NONE,72,UDP packet from 192.168.18.187:57621 to 192.168.18.255:57621,INFO
2025-12-11 10:38:53,192.168.18.111,52176,192.168.18.1,53,UDP,NONE,68,UDP packet from 192.168.18.111:52176 to 192.168.18.1:53 DNS,INFO
2025-12-11 10:38:53,192.168.18.111,51982,192.168.18.1,53,UDP,NONE,68,UDP packet from 192.168.18.111:51982 to 192.168.18.1:53 DNS,INFO
2025-12-11 10:38:53,192.168.18.1,53,192.168.18.111,52176,UDP,NONE,316,UDP packet from 192.168.18.1:53 to 192.168.18.111:52176,INFO
2025-12-11 10:38:53,192.168.18.1,53,192.168.18.111,51982,UDP,NONE,292,UDP packet from 192.168.18.1:53 to 192.168.18.111:51982,INFO
